"","ppid_trialn","heading","heading_signed","startingpos","FirstSteeringTime","pNum","startSWA","steering_rate_start","start_rotatedX","start_rotatedZ","EarlyResponses","PeakSteeringTime","peakSWA","steering_rate","peak_rotatedX","peak_rotatedZ","lane_position"
"1","1_1_0",2,2,8,0.316666666666667,1,0,0.156083921348297,-0.0837662424304094,2.39582793509383,FALSE,0.883333333333333,24.5700001716614,0.245874224009217,-0.167338532559519,6.92201811711337,0.362962216050417
"2","1_1_1",2,2,0,0.383333333333333,1,0,0.0413286751722333,-0.102366125136091,2.92782011815491,FALSE,0.766666666666667,25.1099996734411,0.260349427695038,-0.1832457641252,5.98946548709098,0.102366486824952
"3","1_1_10",1,1,8,0.433333333333333,1,-0.090000182390213,0.0828670741586419,-0.05852738692297,3.33232612540403,FALSE,0.8,23.7599988654256,0.180419645943013,-0.0852108041226824,6.26391112257561,0.195148965122632
"4","1_1_11",2,2,8,0.0166666666666667,1,0.269999876618385,0.0843357602199281,0,0,TRUE,0.833333333333333,25.4699986428022,0.0602098090665261,-0.132743052707451,6.5246822031103,0.279195973620008
"5","1_1_12",2,2,4,0.0166666666666667,1,0.179999694228172,0.0289509857034249,0,0,TRUE,0.666666666666667,22.3199996352196,0.251748005410183,-0.139803905993157,5.19112604231089,0.139597986810004
"6","1_1_13",2,-2,8,0.133333333333333,1,-1.79999962449074,0.059580465296765,-0.0330561744591203,0.932588870808802,TRUE,1,16.9200000911951,0.05916081994147,-0.150599523934513,7.85466946025084,0.323086108392984
"7","1_1_14",2,-2,8,0.316666666666667,1,0,0.0671328593800958,-0.0836235445296744,2.39195144070513,FALSE,0.75,29.6999998390675,0.222377651012856,-0.165572793276634,5.85295519886392,0.362826671975409
"8","1_1_15",2,2,4,0.35,1,-4.95000064373016,0.0589511152747621,-0.100288321831322,2.65903217676007,FALSE,0.8,28.439998626709,0.246713048928274,-0.230000997923923,6.25243699016286,0.18074100616443
"9","1_1_17",2,2,8,0.15,1,-0.900000042747706,0.0207692317557163,-0.0375238534677464,1.06514107385033,TRUE,0.95,34.9199997726828,0.125244612043559,-0.216101199529677,7.45346505682285,0.310077220645597
"10","1_1_18",1,1,4,0.0333333333333333,1,0.180000029504299,0.0478321569157689,-0.00225574486919399,0.129081117358576,TRUE,0.6,14.8499997518957,0.368181879703818,-0.0704685231585029,4.65891250647591,0.0721448631021869
"11","1_1_19",2,-2,8,0.1,1,0.0900000147521496,0.0386014031702196,-0.0232413861870103,0.664734746529089,TRUE,0.75,27.1800004318357,0.200769040551224,-0.147800054540176,5.85736059480705,0.302349520836055
"12","1_1_2",1,1,0,0.383333333333333,1,0,0.0289510476396421,-0.0512134732441507,2.93302946855356,FALSE,0.816666666666667,21.869999896735,0.189440480687408,-0.0827959209559671,6.39767644374463,0.0512118211182201
"13","1_1_20",1,1,0,0.0333333333333333,1,0.269999876618385,0.0415383534623215,-0.00232907364430832,0.133424405503889,TRUE,1.31666666666667,18.2700001448393,0.17454535185874,-0.138596157029215,10.3951767244925,0.00233372316648326
"14","1_1_21",1,-1,8,0.35,1,0,0.0239161073744716,-0.0465281073953995,2.66419076691639,FALSE,0.783333333333333,14.0399999544024,0.0539160415634267,-0.0833159413185003,6.13113085892208,0.186137048308006
"15","1_1_22",2,-2,4,0.4,1,-1.43999990075827,0.0279021165431376,-0.107543723939727,3.06126980493128,FALSE,0.833333333333333,17.8200005739927,0.0889512042065492,-0.206240541988862,6.52219057711906,0.254469249421007
"16","1_1_24",2,2,4,0.466666666666667,1,-11.0700003057718,0.088531480502944,-0.143183861994938,3.59191747834963,FALSE,1.06666666666667,26.8200007081032,0.10657349874924,-0.388631888395732,8.379539191932,0.133074939940614
"17","1_1_27",1,-1,0,0.4,1,-1.43999990075827,0.0285314521068462,-0.0560363852309782,3.0651742438836,FALSE,1.23333333333333,14.8500002548099,0.190489524519518,-0.161561172258471,9.7290399711585,0.0611328312117264
"18","1_1_3",1,-1,0,0.383333333333333,1,-10.6200003996491,0.0400699229611347,-0.0662739591145377,2.93121018272412,FALSE,1.51666666666667,15.1199997961521,0.093146904365164,-0.301278688357149,11.9908744326117,0.0978793667029007
"19","1_1_30",2,2,8,0.483333333333333,1,-0.809999965131283,0.0740558823401279,-0.131341359629722,3.72690954585343,FALSE,1.05,27.2699986025691,0.174965195722511,-0.212407081114473,8.2523604474095,0.395888047818658
"20","1_1_32",2,-2,8,0.4,1,0.090000182390213,0.0646153975512592,-0.107057407483913,3.06069833082545,FALSE,0.866666666666667,27.4499999731779,0.202237753184524,-0.196344821599317,6.78801541291323,0.386096096157579
"21","1_1_34",1,1,0,0.366666666666667,1,0,0.0211888287294578,-0.0488685003659686,2.79803461485812,FALSE,1.26666666666667,16.5600001998246,0.0495104522971851,-0.120705799488325,9.99541050134091,0.0488547628267123
"22","1_1_36",2,-2,4,0.45,1,-2.96999998390675,0.100489435912847,-0.124225961663065,3.45860886262319,FALSE,0.983333333333333,30.1499987393618,0.210000228631754,-0.228495256013188,7.71971392557232,0.289898520101696
"23","1_1_37",1,-1,4,0.266666666666667,1,-0.0900000147521496,0.0404895136093759,-0.0350086723289949,1.99808571734228,FALSE,0.766666666666667,22.0499999262393,0.112867245932549,-0.0712149422019197,5.99675718042982,0.105612507920025
"24","1_1_39",2,2,4,0.0166666666666667,1,0,0.030839204579792,0,0,TRUE,2.28333333333333,24.1199992597103,0.134895075034439,-0.0501690380380206,18.1053011867806,0.139597986810004
