,startingpos,error,model,heading,rt
0,0,visual_angle,threshold,1,1.7833333333333334
1,4,visual_angle,threshold,1,1.2833333333333334
2,8,visual_angle,threshold,1,0.7833333333333333
3,0,visual_angle,threshold,2,0.9666666666666667
4,4,visual_angle,threshold,2,0.4666666666666667
5,8,visual_angle,threshold,2,0.15
